Height,Weight,Age
140,40,16
145,42,17
148,44,18
150,45,19
152,46,20
155,48,21
158,49,22
160,50,23
162,52,24
165,55,25
168,57,26
170,58,27
172,60,28
174,62,29
176,64,30
178,66,31
180,68,32
182,70,33
184,72,34
186,74,35
150,47,20
155,50,22
160,53,24
165,56,26
170,59,28
175,63,30
180,67,32
185,72,35
142,41,16
147,43,17
153,46,19
158,48,21
163,52,23
168,55,25
173,59,27
178,63,29
183,68,32
188,73,35
174,61,31
184,70,30
155,49,20
180,71,31
149,42,19
179,69,34
161,54,23
152,47,21
162,54,24
144,42,18
156,48,24
166,58,25
182,70,34
152,43,18
172,59,25
173,61,28
149,44,16
177,63,32
144,43,18
146,42,16
146,43,19
173,62,27
175,62,32
152,47,18
183,69,30
180,69,33
179,64,29
178,67,32
169,61,28
190,74,33
173,61,25
164,55,27
159,50,21
176,62,28
179,69,34
174,62,31
140,41,15
184,72,34
138,42,18
171,57,28
173,59,30
186,73,36
180,69,33
147,44,18
178,66,28
160,52,26
176,65,27
169,57,28
154,48,23
180,66,31
178,66,30
177,61,29
166,58,27
178,65,30
161,50,25
176,66,33
180,64,31
144,44,19
145,42,17
154,47,21
156,48,23
153,47,19
156,49,24
160,48,22
149,45,21
147,42,17
141,40,14
170,57,27
160,49,21
181,69,30
153,48,22
183,70,36
161,52,25
140,39,14
178,70,31
164,56,27
184,74,34
142,41,15
184,73,33
171,60,29
171,56,25
181,67,32
148,46,18
153,47,21
181,70,31
174,59,27
162,53,24
139,40,16
148,42,19
186,75,37
144,42,15
184,74,35
176,62,29
178,67,31
159,51,24
160,54,26
179,64,28
159,55,22
176,64,32
186,72,35
157,47,24
168,59,28
185,70,33
162,51,25
179,65,30
146,41,19
172,61,27
150,42,19
176,61,27
143,42,17
160,46,21
183,70,34
182,67,34
160,46,19
186,71,34
163,54,23
160,47,22
172,59,25
187,71,34
182,69,33
184,71,36
168,58,30
146,44,20
151,47,21
163,51,24
189,72,34
174,65,28
155,51,23
172,61,30
150,48,20
180,66,33
185,71,34
151,47,21
141,41,15
180,68,33
172,57,28
159,53,22
157,50,21
157,52,24
184,73,34
161,52,23
162,51,25
149,44,17
184,70,33
174,60,27
169,60,28
178,64,29
180,66,34
162,50,21
183,68,30
147,44,16
150,46,17
159,52,24
151,49,20
155,47,23
176,65,31
151,45,21
186,74,33
145,40,16
162,50,24
173,57,28
166,58,25
176,64,30
187,73,34
159,51,22
160,52,23
163,54,25
165,51,24
176,64,28
146,45,17
173,61,28
184,74,34
184,71,33
173,64,28
167,54,25
177,64,27
186,72,35
150,44,20
148,49,20
140,42,14
180,67,30
160,50,21
163,54,26
178,68,30
155,46,20
187,72,34
150,46,21
182,72,35
183,70,33
164,55,27
159,55,26
153,46,23
165,57,26
161,53,26
184,72,37
177,61,29
187,74,37
174,60,26
156,46,21
176,62,29
153,48,21
159,48,21
140,38,17
145,42,17
149,42,18
183,66,32
159,50,21
142,42,16
170,56,28
152,46,21
180,65,30
162,55,23
179,69,31
154,46,21
183,73,32
182,67,33
181,65,32
151,47,21
162,50,24
172,58,27
158,48,20
161,52,22
176,63,28
178,68,34
181,66,31
162,55,23
180,64,28
182,72,33
156,50,20
179,70,33
176,65,33
139,40,16
159,49,23
162,50,23
174,63,29
153,44,17
147,44,15
151,48,18
156,48,22
174,58,25
162,51,24
150,48,22
177,62,28
166,54,23
176,65,27
141,39,15
166,53,27
185,70,33
183,71,34
172,61,31
161,53,22
151,44,19
141,39,14
154,48,21
175,62,30
151,49,20
169,58,28
153,48,21
161,51,21
163,56,24
147,41,19
142,39,17
147,43,17
186,72,34
183,72,35
146,45,17
160,52,24
141,39,15
158,47,20
189,75,37
154,51,24
170,56,26
167,56,24
148,45,19
170,59,29
156,48,22
184,70,32
165,56,27
180,68,31
173,62,30
185,73,36
173,63,28
158,52,21
140,40,17
164,56,24
147,42,20
170,56,25
161,51,25
170,59,29
176,62,29
187,75,35
186,74,32
147,40,19
173,64,29
184,71,35
149,47,17
153,45,21
181,72,32
174,64,31
163,50,24
142,42,16
172,62,26
156,52,22
164,51,24
154,46,23
175,66,28
163,54,22
186,75,37
144,42,15
142,39,16
163,52,22
179,68,33
169,53,24
168,57,23
155,48,18
141,40,15
183,74,36
164,53,25
141,40,18
176,63,29
166,57,23
160,55,22
157,48,23
186,70,34
163,53,25
152,47,21
179,61,27
154,46,20
163,53,23
181,69,34
143,44,17
178,66,32
153,44,20
157,52,24
151,47,17
170,59,28
142,40,15
166,56,27
140,39,18
160,53,23
161,55,22
186,73,35
153,51,24
173,58,27
176,67,29
164,51,21
160,50,20
182,70,30
172,58,28
168,58,26
178,69,32
187,75,35
185,71,35
170,54,25
149,44,18
177,64,30
189,72,34
173,65,30
163,54,28
181,67,34
153,47,23
168,59,25
166,53,25
174,60,30
183,67,33
171,60,29
166,56,24
146,42,19
155,46,17
152,46,20
182,69,33
172,58,29
159,49,24
152,45,21
168,60,29
180,66,34
171,60,29
184,71,34
158,50,21
176,64,32
183,72,34
157,51,22
169,55,27
162,53,24
184,72,34
159,55,26
156,51,20
144,40,14
170,58,25
143,39,17
164,55,26
167,56,27
147,40,18
153,51,22
163,53,23
183,69,34
167,56,26
185,71,35
185,75,36
155,47,21
158,49,24
151,44,17
157,50,19
148,46,22
142,41,16
173,60,28
157,48,22
178,69,32
149,42,18
173,62,27
167,57,27
178,63,30
183,67,31
177,62,29
154,51,24
160,49,20
180,68,34
181,68,35
163,54,23
168,57,24
162,52,23
155,51,21
171,61,30
175,62,30
142,39,18
149,49,20
142,40,15
145,45,17
159,51,20
190,73,36
171,60,26
